tau,scale_factor_a
2.375050000001134,1.831416681044636
2.400050000001076,1.8293783551427096
2.4250500000010176,1.8273331929583483
2.4500500000009593,1.8252811407524379
2.475050000000901,1.8232221441190388
2.5000500000008428,1.82115614797405
2.5250500000007845,1.8190830965436349
2.5500500000007262,1.8170029333523856
2.575050000000668,1.814915601211236
2.6000500000006097,1.8128210422050979
2.6250500000005514,1.8107191976802557
2.650050000000493,1.808610008231445
2.675050000000435,1.8064934136886528
2.7000500000003766,1.8043693531036502
2.7250500000003184,1.8022377647361827
2.75005000000026,1.8000985860398817
2.775050000000202,1.797951753647843
2.8000500000001436,1.7957972033578617
2.8250500000000853,1.7936348701173648
2.850050000000027,1.791464688007969
2.875049999999969,1.7892865902296888
2.9000499999999105,1.7871005090847847
2.9250499999998523,1.7849063759612225
2.950049999999794,1.78270412131576
2.9750499999997357,1.780493674656626
3.0000499999996775,1.7782749645257827
3.025049999999619,1.776047918480782
3.050049999999561,1.7738124630761765
3.0750499999995027,1.7715685238444823
3.1000499999994444,1.7693160252766997
3.125049999999386,1.767054890802335
3.150049999999328,1.7647850427689482
3.1750499999992696,1.7625064024212076
3.2000499999992114,1.7602188898794056
3.225049999999153,1.7579224241174642
3.250049999999095,1.7556169229403826
3.2750499999990366,1.75330230296111
3.3000499999989783,1.7509784795768633
3.32504999999892,1.7486453669448119
3.3500499999988618,1.7463028779571692
3.3750499999988035,1.7439509242156306
3.4000499999987452,1.741589416005169
3.425049999998687,1.7392182622671384
3.4500499999986287,1.7368373705716817
3.4750499999985704,1.7344466470894206
3.500049999998512,1.7320459965624062
3.525049999998454,1.7296353222742804
3.5500499999983957,1.7272145260196752
3.5750499999983374,1.7247835080727512
3.600049999998279,1.7223421671549415
3.625049999998221,1.7198904004017803
3.6500499999981626,1.7174281033288552
3.6750499999981043,1.7149551697968028
3.700049999998046,1.712471491975373
3.725049999997988,1.709976960306476
3.7500499999979295,1.7074714634662076
3.7750499999978713,1.7049548883258
3.800049999997813,1.7024271199114975
3.8250499999977547,1.6998880413632844
3.8500499999976965,1.6973375338924064
3.875049999997638,1.694775476737725
3.90004999999758,1.692201747120775
3.9250499999975217,1.6896162201995342
3.9500499999974634,1.687018769020837
3.975049999997405,1.6844092644713877
4.000049999997347,1.681787575227331
4.025049999997289,1.6791535677023146
4.05004999999723,1.6765071059940084
4.075049999997172,1.6738480518289953
4.100049999997114,1.6711762645060082
4.125049999997056,1.668491600837411
4.150049999996997,1.6657939150889187
4.175049999996939,1.663083058917414
4.200049999996881,1.6603588813068508
4.2250499999968225,1.6576212285021406
4.250049999996764,1.6548699439409698
4.275049999996706,1.6521048681834318
4.300049999996648,1.64932583883942
4.3250499999965895,1.6465326904936866
4.350049999996531,1.6437252546284684
4.375049999996473,1.640903359543585
4.400049999996415,1.6380668302739332
4.425049999996356,1.6352154885042192
4.450049999996298,1.6323491524808862
4.47504999999624,1.6294676369210637
4.500049999996182,1.6265707529184454
4.525049999996123,1.6236583078459783
4.550049999996065,1.6207301052551943
4.575049999996007,1.6177859447720917
4.6000499999959485,1.614825621989378
4.62504999999589,1.6118489283549529
4.650049999995832,1.6088556510564425
4.675049999995774,1.6058455729016352
4.7000499999957155,1.602818472194641
4.725049999995657,1.599774122607571
4.750049999995599,1.5967122930475612
4.775049999995541,1.5936327475189112
4.800049999995482,1.5905352449801435
4.825049999995424,1.5874195391957249
4.850049999995366,1.5842853785822633
4.875049999995308,1.5811325060488328
4.900049999995249,1.5779606588312614
4.925049999995191,1.5747695683200271
4.950049999995133,1.571558959881489
4.975049999995075,1.5683285526721404
